headline,lead_paragraph,pub_date,web_url,word_count
Letters to the Editor; On the Law Never Underestimate ... 'Leeway',,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9E05EEDA133AEF33A25752C0A9679C946192D6CF,605
THE FIRST PAGE OF THE NEW YORK TIMES AS IT APPEARED FIFTY YEARS AGO TODAY,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F0DE2DA133AEF33A25752C0A9679C946192D6CF,23
TO AID 'JUNIOR' REPUBLIC; Fred T. Ley Heads Building Group in Expansion Drive,"Leaders in the construction industry here supporting the expansion program of the George ""Junior"" Republic at Freeville, N.Y., have named Fred T. Ley, chairman of the board of Fred ...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A02EEDA133AEF33A25752C0A9679C946192D6CF,134
GETS 55 HOME PERMITS; Developer Plans More Units at Linden Club Site,"LINDEN, N.J., Dec. 31--Fiftyfive more permits have been issued by Building Inspector Charles B. Keiming to Sunnyfield, Inc., for that many more one-family residences on the site of the former Sunnyfield Golf Club course here.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F0DEEDA133AEF33A25752C0A9679C946192D6CF,158
"MISS DONLON HAILS NEW DISABILITY ACT; Calls State Law, Operative Now, 'One of Greatest Social Insurance Advances' of Age Maximum $26 a Week","Miss Mary Donlon, chairman of the New York State Workmen's Compensation Board, described yesterday the astate's new disability benefits law as ""one of the greatest social insurance advances of our times.""",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9807EFDB133AEF33A25752C0A9679C946192D6CF,507
"Dismantled Ruhr Plants Restored, German Asserts","DUESSELDORF, Germany, Dec.31--A German official said today that every dismantled factory in the Ruhr area, ""except the real armament factories,"" was being restored to operation.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D02E0DB133AEF33A25752C0A9679C946192D6CF,141
Shah of Iran Reaches Rome,"ROME, Dec.31 (AP)--The Shah of Iran, Mohammed Reza Pahlevi, arrived here by plane today from the United States. The Shah, who will spend a few days in Rome, was greeted at the airport by Francesco Maria Taliani, Chief of Protocol of the Foreign Ministry, and members of the Iranian royal family.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F0DE1DB133AEF33A25752C0A9679C946192D6CF,55
JEAN E.SOMMERVILLE AFFIANCED TO OFFICER,"PHILADELPHIA, Dec.31--Announcement has been made of the engagement op Miss Jean Elizabeth Sommerville, daughter of Mr. and Mrs.Robert L.Sommerville of Chestnut Hill, to Lieut. Duane H...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=980DEFDB133AEF33A25752C0A9679C946192D6CF,91
Week's Paper Output Ratio Off,"The ratio of United States paper production to mill capacity for the week ended Dec. 24 was 87.2 per cent, compared with 98.4 per cent for the week ended Dec. 17, revised, and 74.6 per cent for the ...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F01E3DA133AEF33A25752C0A9679C946192D6CF,95
MISS VANDERBILT TO WED; Student Nurse Will Be Bride of Douglas Gordon Tompkins,"Announcement has been made here by Mr. and Mrs. Herbert R. Vanderbilt of Buffalo of the engagement of their daughter, Nancy Jane, to Douglas Gordon Tompkins, son of Mrs. Elaine H. Tompkins of Los Angeles and Sydney Tompkins of this city.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9C07EEDB133AEF33A25752C0A9679C946192D6CF,110
POWERS IN ISRAEL URGED FOR ZIONISTS,"TEL AVIV, Israel, Dec.31--Pinhas Rosen, Israel Minister of Justice, proposed today the granting of a charter to the Zionist Organization. It would accord executive powers within the state to the Zionist movement in connection with specific functions of the organization, such as the absorption of immigrants.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9E05EFDB133AEF33A25752C0A9679C946192D6CF,237
Obituary 5 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9405E7DA133AEF33A25752C0A9679C946192D6CF,647
SCHEDULED AIRLINES SCORE 'SAFEST YEAR',"WASHINGTON, Dec. 31 (AP)-- United States scheduled airlines had their safest year of flying in 1949.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F07E0DA133AEF33A25752C0A9679C946192D6CF,227
STUDENTS QUESTION WORLD FEDERATION; French Group in Youth Forum Says International Thinking Is Not Taught in Schools,Two American high school seniors proposed world federation as the way to keep peace in the future. But the four French students of the Sorbonne who discussed world citizenship with them during a transatlantic broadcast yesterday questioned the possibility of achieving such unity because of the failure to teach youth to think internationally.,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9503E0DB133AEF33A25752C0A9679C946192D6CF,498
ANNE MEAGHER AFFIANCED; Will Be Married to Austin L. Smithers of Greenwich,"The engagement has been announced of Miss Anne Meagher, daughter of Mrs. Maurice Goddard of Miami Beach, Fla., and Dr. Richard Meagher of New York, and Greenwich, Conn., to Austin...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A04EEDB133AEF33A25752C0A9679C946192D6CF,118
SARA SHEELER ENGAGED; Troth to Waldemar O.Breuhaus Announced in Syracuse,"SYRACUSE, N.Y., Dec.31--The engagement has been announced by Mr. and Mrs.George W.Sheeler of their daughter, Sara Jane, to Waldemar Otto Breuhaus, son of the Rev. and Mrs.Otto W.Breuhaus of Lowell, Ohio.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D06EEDB133AEF33A25752C0A9679C946192D6CF,102
Dallas,"DALLAS, Dec.31--Department store sales in the Eleventh Federal Reserve District showed their biggest gain over the corresponding week of last year during the final week of Christmas shopping, but ...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A02E3DA133AEF33A25752C0A9679C946192D6CF,100
Art and Life In New Spain,"THE true measure of any civilization is the books that its people read for enjoyment, and in this scholarly work Dr. Leonard takes another healthy swipe at the Black Legend of Spanish colonial materialism and brutality.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9B02EFDA133AEF33A25752C0A9679C946192D6CF,445
NEWS NOTES FROM THE FIELD OF TRAVEL; FERRY TO NORFOLK EUROPEAN BUS TRAVEL BUILDING IN EVERGLADES INDOOR SUNBATHING STATE SKI GUIDES TRINIDAD RHYTHMS SKY FLEET EDUCATIONAL TOURS MEXICO LAND CRUISES HERE AND THERE,"THE new bridge over Baker's Haulover, the cut between Biscayne Bay and the Atlantic just north of Miami Beach, and the parkway type approaches to it have now been opened to traffic, The $1,500,000 bridge",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9505E5DA133AEF33A25752C0A9679C946192D6CF,1305
New District Attorney Named,"ALBANY, Dec.31 (AP)--Governor Dewey today appointed Harold F.Simons of Hamilton as Madison County District Attorney. Mr. Simons, a former special deputy Attorney General assigned to the State Agricultural Department, succeeds Howard E. Zeller. Mr. Zeller was elected to the State Supreme Court last fall.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A0CEEDB133AEF33A25752C0A9679C946192D6CF,47
SOCIAL SECURITY TAX INCREASES TO 1 %,"WASHINGTON, Dec. 31 (AP)--A 50 per cent rise in the social security tax, adding up to almost $750,000,000 more in 1950, goes into effect with the new year.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9406EFDB133AEF33A25752C0A9679C946192D6CF,257
CAMERA NOTES; STUDY IN PERSPECTIVE,"THE first post-war model of the Contax 35mm miniature camera, the--Contax-S, reached American camera stores last week through the Er cona Camera Corporation, 527 Fifth Avenue.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9C03E6DA133AEF33A25752C0A9679C946192D6CF,358
MIAMI ENLARGES ITS AIRPORT; MORNING LINEUP ON THE LOADING RAMP AT MIAMI AIRPORT,MIAMI--Unveiling of expanded passenger facili ties at International Airport Wednesday will give Miami one of the most efficient air terminals in the country. Both foreign and domestic travelers will be benefited by the additions and alterations.,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=950CE6DA133AEF33A25752C0A9679C946192D6CF,1204
Marriage Announcement 13 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A07EEDB133AEF33A25752C0A9679C946192D6CF,79
"MISS E.M. VAN NESS ENGAGED TO MARRY; Senior at Mt. Holyoke Will Be Bride of David M. Ogden, an Alumnus of Yale, '49","WAREHAM, Mass., Dec.31-- Announcement has been made by Mr. and Mrs.William Waite Beardsley of the engagement of Mrs. Beardsley's daughter, Miss Elizabeth May Van Ness, to David Mitchell Ogden, son of Mr. and Mrs.Robert Moore Ogden Jr. of East Orange, N.J.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9907EEDB133AEF33A25752C0A9679C946192D6CF,175
Expands Management Work,"Widelitz Co. of 2112 Broadway has expanded its management department, which now is under the direction of David B. Widelitz, assisted by Joseph Panman. Benjamin Widelitz heads the brokerage department, and Jacob Widelitz and his son, Irwin, are in charge of the general insurance division.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9C01EEDA133AEF33A25752C0A9679C946192D6CF,47
SUN BOWL ELEVENS READY; Georgetown and Texas Western Hold Final Drills for Game,"EL PASO, Tex., Dec. 31 (AP)-- Two T-formation teams--one with at aerial attack--took final drills today for the Sun Bowl football game Monday.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9C01E1DA133AEF33A25752C0A9679C946192D6CF,156
"Germans Report 400,000 Freed","BERLIN, Dec.31 (Reuters)-- Nearly 400,000 German prisoners of war returned from the Soviet Union during 1949, according to figures published by the East German News Agency ADN.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9505E0DB133AEF33A25752C0A9679C946192D6CF,30
ALBANY TO GET BILLS FOR SCHOOL CAMPING,"ALBANY, Dec.31--Senator Thomas C. Desmond, Republican, of Newburgh, said today he would sponsor three bills at the coming session of the Legislature to further the concept of camps as an integral part of public school education.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9901E7DA133AEF33A25752C0A9679C946192D6CF,149
HOTEL-NIGHT CLUB FEUD FLARES UP IN FLORIDA; Old Law Invoked Short Club Season Sitting in the Lobby,THE long-standing feud between the night clubs and the big hotels of Miami Beach came to a head last week when the Sherry-Frontenac,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D05E5DA133AEF33A25752C0A9679C946192D6CF,903
ANSWERS TO QUESTIONS ON PAGE 2,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9402E2DA133AEF33A25752C0A9679C946192D6CF,223
AROUND THE GARDEN; After the Holidays Terrarium Care Evergreen Damage House Plant Grooming A Future for Poinsettia Catalogue Time On Roses,Evergreen branches wired into swags or simply used for decoration have not finished their usefulness when the holidays end.,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9E03E4DA133AEF33A25752C0A9679C946192D6CF,1186
Obituary 10 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9C07E7DA133AEF33A25752C0A9679C946192D6CF,390
"ALL-ASIA NET TITLE GOES TO MRS.TODD; She Defeats Betty Hilton by 6-4, 6-0, and Gains Doubles Final With Miss Moran","CALCUTTA, India, Dec. 31 (AP) --Mrs. Patricia Canning Todd of La Jolla, Calif., defeated Betty Hilton of England, 6-4, 6-0, today to win the women's singles of the all-Asia tennis championships.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A01E1DA133AEF33A25752C0A9679C946192D6CF,313
ANN MARSTON FIANCEE OF WILLIAM MILLS 3D,"WESTTOWN, Pa., Dec.31--Mrs. James Louis Lohrke of Memel Farm, has made known the engagement of her daughter, Miss Ann Barker Marston, to William...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F02EFDB133AEF33A25752C0A9679C946192D6CF,104
MISS AMALIE MAYER TO BE BRIDE IN MAY,"Mr. and Mrs.Walter L.Mayer of 225 West Eighty-sixth Street, have announced the engagement of their daughter, Amalie, to Arnold J. Flegenheimer, son of Stage Assemblyman Monroe Flegenheimer and Mrs. Flegenheimer, also of New",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9902EEDB133AEF33A25752C0A9679C946192D6CF,123
Letters to The Times; The Pact Under U.N. Proposals to Insure Accord With Charter's Provisions Offered Support of Charter Rule on Party to Dispute Authority of Council Envoys of Good-Will Appointment Urged of Negroes For Missions Abroad Mid-Century Mark COMMANDMENT Closing the Dollar Gap Expanded Use Is Suggested of Europe's Service Industries Idle Airliners Wheat From Pakistan,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9503E2DA133AEF33A25752C0A9679C946192D6CF,2661
Soviet Organ Honors Stalin,"WASHINGTON, Dec.31 (UP)-- The December issue of the Soviet Information Bulletin commemorates the seventieth birthday of Premier Stalin. There are twentytwo pictures of Mr.Stalin in the...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9806E0DB133AEF33A25752C0A9679C946192D6CF,66
Atlanta,"ATLANTA, Dec.31--A late Christmas buying surge sent department store sales to a new all-time December high in the Southeast last week.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D02E3DA133AEF33A25752C0A9679C946192D6CF,140
Editorial Cartoon 5 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D01E2DA133AEF33A25752C0A9679C946192D6CF,4
Puerto Rico's Tomorrow,HOW poor is Puerto Rico? How long will the island be dependent on mainland help? Can any economic program solve the population problem? What constructive plan offers the best hope for the island's future?,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F02EFDA133AEF33A25752C0A9679C946192D6CF,958
SCIENCE SINCE 1900,The years since 1900 have been marked by social restlessness and by the extraordinary advances made in science and technology.,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9E03E2DA133AEF33A25752C0A9679C946192D6CF,389
'Year of Expanding Prosperity' Is Predicted for New York State,"ALBANY, Dec.31--Commissioner Harold Keller of the State Department of Commerce declared in a year-end review today that business in the state could look forward to 1950 ""as a year of expanding prosperity.""",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9B0DEEDB133AEF33A25752C0A9679C946192D6CF,365
DEWEY APPOINTS JUDGES; Lambiase Renamed for 9-Year Term on Claims Court,"ALBANY, Dec.31 (AP)--Governor Dewey today reappointed Judge Charles Lambiase of Rochester to a nine-year term on the State Court of Claims. The post pays $15,000 a year.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F0CE0DB133AEF33A25752C0A9679C946192D6CF,145
U.S. ACCEPTS CURBS ON MOROCCO TRADING,"WASHINGTON, Dec.31--The United States agreed today to an indefinite extension of liberalized trade controls over United States citizens doing business as importers in French Morocco.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9905E0DB133AEF33A25752C0A9679C946192D6CF,203
U.N. HELD KEY TO PEACE; Romulo Ranks Atomic Control as Main Task Facing World,"LAKE SUCCESS, Dec. 37.--The issue of peace or war in the next fifty years will depend largely on the effectiveness of the United Nations, Brig. Gen. Carlos P. Romulo of the Philippines said today.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9404E0DB133AEF33A25752C0A9679C946192D6CF,140
Fire Goes to Firehouse But Firemen Are Away,A fire went to a firehouse yesterday but the firemen were away and the blaze had to burn patiently until they returned.,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=980CEEDB133AEF33A25752C0A9679C946192D6CF,121
Marriage Announcement 19 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9803EEDB133AEF33A25752C0A9679C946192D6CF,207
"LIVERPOOL VICTOR OVER ARSENAL, 2-0; Manchester United Team and Wolverhampton Also Win in English Soccer","LONDON, Dec. 31 (Reuters)-- Liverpool blanked Arsenal by 2--0 today to maintain its pace-setting position in the English football league's first division. Manchester United, two points behind, also triumphed.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=990CE1DA133AEF33A25752C0A9679C946192D6CF,822
E.C.A. NATIONS JOIN HOFFMAN IN URGING MORE INTEGRATION; Year-End Reports Stress Need if West Europe Is to Stand on Own Feet After 1952 EXDPRESS THANKS TO U.S. Administrator Says Continent Requires a Single Market to Become Self-Sufficient E.C.A. NATIONS JOIN HOFFMAN IN PLEA A LADY SHERIFF SEEKS TO SERVE MAYOR CURLEY,"WASHINGTON, Dec.31--The foreign and finance ministers of the principal Marshall Plan countries joined today with Paul G. Hoffman, Economic Cooperation Administrator, in stressing the need of further economic integration if recovery gains to date were to be consolidated and Western Europe enabled to stand on its own feet after 1952.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9B01E1DB133AEF33A25752C0A9679C946192D6CF,1651
ROSSELLINI'S NEW RIVAL; Italians Acclaim Vittorio De Sica as Their Leading Motion Picture Director on the Basis of 'The Bicycle Thief' Mentor Team's Work Beggar's World,"ROME. THE thing which most pleases Vittorio De Sica, director of ""The Bicycle Thief,"" about the success his film has achieved throughout Europe is the fact that much of the applause has come from Italy itself.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9B05E6DA133AEF33A25752C0A9679C946192D6CF,1080
CONCERTS OF THE WEEK ON THE RADIO,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9E03E6DA133AEF33A25752C0A9679C946192D6CF,2803
Congress Opens; In Political Mood,"At the stroke of noon this Tuesday, Vice President Alber W. Barkley, as President of the Senate, and Sam Rayburn, as Speaker of the House, rap their gavels to call the Senate and the House of Representatives to order. The second session of the Eighty-first Congress will be under way.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9907E2DA133AEF33A25752C0A9679C946192D6CF,1357
Marriage Announcement 2 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9B02EFDB133AEF33A25752C0A9679C946192D6CF,135
COMPETITION DUE FOR BUILDING JOBS; Eller Notes Recent Progress in Industry--Sees Bright Prospects for New Year,"The second half of the century will witness a strong competition in the building industry with a high level of technical efficiency developed to meet the needs for housing, institutional and industrial construction, according to Peter W. Eller, chairman of the board of governors of the Building Trades Employers Association of New York.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=990DEEDA133AEF33A25752C0A9679C946192D6CF,363
Kansas City,"KANSAS CITY, Mo., Dec.31-- In the usual post-Christmas drop in business and industry this week, bank clearings showed a loss from a year ago, the Tuesday to Saturday total lagging 10 to 15 per cent below the Monday to Friday total of last year.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9E02E3DA133AEF33A25752C0A9679C946192D6CF,138
Marriage Announcement 18 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D03EEDB133AEF33A25752C0A9679C946192D6CF,107
FRANCO HOLDS BONDS WITH AMERICA CLOSER,"MADRID, Dec.31 (Reuters)-- Generalissimo Francisco Franco told his people in a New Year's broadcast tonight that Spain's relations with the peoples of America were becoming ""closer every day."" He said:",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D01E0DB133AEF33A25752C0A9679C946192D6CF,98
CONVENTION OPENS--OTHER EVENTS; Weed Control Conference,"THE 1950 convention of Eastern Nurserymen is being held at the Hotel Statler, Seventh Avenue and Thirtythird Street, Wednesday through Friday.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9400E4DA133AEF33A25752C0A9679C946192D6CF,945
Hollywood And vine,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A03E0DA133AEF33A25752C0A9679C946192D6CF,65
Sports of the Times; Forecast for 1950 Here and There Thitcher and Yon Around the Mulberry Bush Last Round-Up,THERE is nothing particularly difficult about writing a Review of the Year. The events have already happened.,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F00E1DA133AEF33A25752C0A9679C946192D6CF,1231
Marriage Announcement 21 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F04E7DA133AEF33A25752C0A9679C946192D6CF,486
New Books in the Younger Reader's Library; The Japanese Pattern,"THE Japanese, says Mrs. Spencer, ""are unlike the peoples of the West and they are unlike their neighbors.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9E0CEFDA133AEF33A25752C0A9679C946192D6CF,1247
San Francisco,"SAN FRANCISCO, Dec.31-- The sharp trend upward of retail business activity continued into the final week of holiday shopping. The week just concluded found gains being registered in the larger store sales from 11 per cent to 23 per cent.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9802E3DA133AEF33A25752C0A9679C946192D6CF,185
Obituary 1 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D05E7DA133AEF33A25752C0A9679C946192D6CF,304
Other Books of the Week,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9904EEDA133AEF33A25752C0A9679C946192D6CF,1766
MISS JOAN KENNEDY WILL BE WED JAN.21,"WEST HARTFORD, Conn., Dec. 31--Mr. and Mrs.Joseph R.Kennedy have made known the engagement and approaching marriage of their daughter, Joan Mason, to Arthur H. Meyers, son of...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9506EEDB133AEF33A25752C0A9679C946192D6CF,137
GIANTS TO ENGAGE IN 36 EXHIBITIONS; Training Slate to Get Under Way March 11 in First of 18 Games With Indians GIANTS TO ENGAGE IN 36 EXHIBITIONS El Paso First Stop Stadium Attendance Listed,"A strenuous spring training program of thirty-six games, all except five, with major league rivals, has been mapped out for Leo Durocher's Giants, according to ...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A07E1DA133AEF33A25752C0A9679C946192D6CF,1163
ANN P.HUBBARD ENGAGED; Daughter of Michigan Bishop Is Fiancee of James H.Tuttle,"DETROIT, Dec.31--Bishop Russell S.Hubbard and Mrs.Hubbard have announced the engagement of their daughter, Ann Perry, to James Howard Northup Tuttle, son of Mr. and Mrs. George C.Tuttle of New York and Northeast Har-- bor, Me.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9C00EEDB133AEF33A25752C0A9679C946192D6CF,94
WESTERN ALLIES PASS BONN'S AMNESTY LAW,"BONN, Germany, Dec.31 (UP)-- The Western Allies gave their blessing today to a German amnesty law opening the doors of prisons to many political offenders. Neither German nor Western Allied legal experts, however, could define the type of offender affected, or estimate how many would benefit.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F02E0DB133AEF33A25752C0A9679C946192D6CF,213
Last Run for Toledo Street Cars,"TOLEDO, Ohio, Dec.31 (AP)-- Toledo's last streetcar rattled through its final run late today, sixty years after the first vehicle of its kind appeared on Toledo's",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9904EFDB133AEF33A25752C0A9679C946192D6CF,74
Obituary 9 -- No Title,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9504E7DA133AEF33A25752C0A9679C946192D6CF,1469
BEHIND THE WEDDING; Carson McCullers Discusses the Novel She Converted Into a Stage Play,"CARSON McCULLERS, the author of ""The Member of the Wedding,"" which is to open this week, is unknown as a playwright. She is, on the contrary, very well known--and famous even--as a novelist.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A02E7DA133AEF33A25752C0A9679C946192D6CF,797
MISS COPLON ASKS FOR NEW SPY TRIAL; Alleges in Petition to Supreme Court That F.B.I. Tapped Wires for Evidence,"WASHINGTON, Dec.31--Judith Coplon petitioned the Supreme Court today to set aside her conviction for espionage last June and to order the District Court here to accord her a new trial. She is now facing trial in New York, along with Valentin A. Gubitchev, for conspiracy and espionage.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9406E0DB133AEF33A25752C0A9679C946192D6CF,465
BOTH PARTIES PLAN CONGRESS TACTICS FOR SHARP BATTLES; Caucuses Are Called for Final Preparations for Opening of Session Tuesday TRUMAN WRITES MESSAGES Senate to Take Up Margarine Bill Promptly After Hearing Him on Wednesday Strategy Meeetings Slated BOTH PARTIES MAP CONGRESS TACTICS Showdown Unlikely on Three Excise Tax Cut Request Seen,"WASHINGTON, Dec. 31--Final preparations for opening an election-year Congressional session that promises to produce momentous fights over major phases of President Truman's Fair Deal are under way here on this New Year's holiday week-end.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9801E1DB133AEF33A25752C0A9679C946192D6CF,993
Comprehensive 'Whitman',"THIS thick volume of ""Leaves of Grass,"" selected prose, and Whitman letters, combined with a long biographical essay, an annotated bibliography, and ...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A0DEFDA133AEF33A25752C0A9679C946192D6CF,716
